Edad,Media,DesviacionEstandar
1,11,1.62
2,11,1.62
3,11,1.62
4,11,1.62
5,11,1.62
6,11,1.62
7,11,1.62
8,11,1.62
9,11,1.62
10,11,1.62
11,11,1.62
12,11,1.62
13,11,1.62
14,11,1.62
15,11,1.62
16,11,1.62
17,11,1.62
18,11,1.62
19,11,1.62
20,11,1.62
21,11,1.62
22,11,1.62
23,11,1.62
24,11,1.62
25,11,1.62
26,11,1.62
27,11,1.62
28,11,1.62
29,11,1.62
30,11,1.62
31,11,1.62
32,11,1.62
33,11,1.62
34,11,1.62
35,11,1.62
36,11,1.62
37,11,1.62
38,11,1.62
39,11,1.62
40,11,1.62
41,11,1.62
42,11,1.62
43,11,1.62
44,11,1.62
45,11,1.62
46,11.16,1.39
47,11.16,1.39
48,11.16,1.39
49,11.16,1.39
50,11.16,1.39
51,11.16,1.39
52,11.16,1.39
53,11.16,1.39
54,11.16,1.39
55,11.16,1.39
56,11.2,1.03
57,11.2,1.03
58,11.2,1.03
59,11.2,1.03
60,11.2,1.03
61,11.2,1.03
62,11.2,1.03
63,11.2,1.03
64,11.2,1.03
65,11.2,1.03
66,10.2,2.2
67,10.2,2.2
68,10.2,2.2
69,10.2,2.2
70,10.2,2.2
71,10.2,2.2
72,10.2,2.2
73,10.2,2.2
74,10.2,2.2
75,10.2,2.2
76,10,1.79
77,10,1.79
78,10,1.79
79,10,1.79
80,10,1.79
81,10,1.79
82,10,1.79
83,10,1.79
84,10,1.79
85,10,1.79
86,10,1.22
87,10,1.22
88,10,1.22
89,10,1.22
90,10,1.22
91,10,1.22
92,10,1.22
93,10,1.22
94,10,1.22
95,10,1.22
96,10,1.22
97,10,1.22
98,10,1.22
